#Types Before Cut: 11091
#Types After Cut: 9686
#Search Hits: 0
243	38	33.784	жизни
244	20	33.663	другому
245	17	33.339	учитель
246	15	32.743	будешь
247	15	32.743	понял
248	15	32.743	поняла
249	28	32.514	таки
250	34	32.405	голос
251	24	32.347	принципе
252	18	32.163	дом
253	12	31.682	берег
254	12	31.682	весело
255	12	31.682	детстве
256	12	31.682	квартиру
257	12	31.682	круто
258	12	31.682	любят
259	12	31.682	поговорить
260	12	31.682	пятьдесят
261	12	31.682	смешно
262	16	30.928	ходили
263	16	30.928	школа
264	16	30.928	языке
265	20	30.891	дочка
266	49	30.796	всегда
267	21	30.569	хоть
268	36	30.438	две
269	14	30.236	домой
270	113	30.234	даже
271	17	29.839	давайте
272	17	29.839	пошла
273	11	29.042	inan
274	11	29.042	давали
275	11	29.042	девочки
276	11	29.042	девяносто
277	11	29.042	здорово
278	11	29.042	знала
279	11	29.042	кадра
280	11	29.042	классно
281	11	29.042	кхм
282	11	29.042	понимаешь
283	11	29.042	расскажу
284	11	29.042	рассказчик
285	11	29.042	смеётся
286	11	29.042	смотри
287	11	29.042	соседка
288	11	29.042	училась
289	11	29.042	холодно
290	19	28.707	младший
291	26	28.705	самое
292	15	28.530	играть
293	21	28.303	язык
294	13	27.739	девочка
295	13	27.739	концерт
296	13	27.739	семья
297	13	27.739	ходить
298	13	27.739	честно
299	16	27.533	видео
300	26	27.076	смысле
301	17	26.919	моей
302	156	26.724	или
303	18	26.546	понимаю
304	10	26.402	вкус
305	10	26.402	восемьдесят
306	10	26.402	дед
307	10	26.402	дедушка
308	10	26.402	ехать
309	10	26.402	забыл
310	10	26.402	иии
311	10	26.402	картинка
312	10	26.402	кашель
313	10	26.402	нуу
314	10	26.402	озеро
315	10	26.402	пол
316	10	26.402	прикольно
317	10	26.402	ребята
318	10	26.402	своё
319	10	26.402	слушай
320	10	26.402	смешок
321	10	26.402	собака
322	10	26.402	ушёл
323	19	26.338	н
324	22	26.326	какую
325	22	26.326	часов
326	14	26.149	собственно
327	27	25.860	моя
328	12	25.253	вдруг
329	12	25.253	делаю
330	12	25.253	купил
331	15	25.247	ж
332	16	24.713	читать
333	21	24.385	жить
334	20	24.272	друг
335	20	24.272	места
336	18	24.260	тему
337	19	24.224	слово
338	29	23.930	старший
339	13	23.785	какими
340	13	23.785	маленький
341	13	23.785	машина
342	13	23.785	смотреть
343	9	23.762	n
